Cuestions;Answers;Categories
Qarawiyyin es primera universidad del mundo se encuentra en marruecos .; marruecos ;Geografía
El apellido de la reina Isabel II de Inglaterra era Windsor .; Windsor ;Historia
El actual rey de Inglaterra se llama Carlos .; Carlos ;Cultura
La actual Constitución Española se aprobó en 1978 .; 1978 ;Historia
El Día de la Hispanidad se celebra el 12 de octubre .; 12 ;Cultura
La primera bomba atómica se utilizó en Japón .; Japón ;Historia
el hombre ha estado en la Luna seis veces .; Luna ;Ciencia
El ser humano viajó por primera vez al espacio en 1961, el astronauta a bordo fue Yuri Gagarin .; 1961 ;Historia
El ser humano viajó por primera vez al espacio en 1961, el astronauta a bordo fue Yuri Gagarin .; Yuri ;Historia
La imprenta se inventó en 1440 .; 1440 ;Historia
Adolf Hitler nació en Braunau am Inn, Austria .; Austria ;Historia
Los dinosaurios se extinguieron debido a la teoría más aceptada de que hace 66 millones de años, un asteroide gigantesco cayó en Chicxulub, oscureciendo el cielo y enfriando el planeta .; 66 ;Ciencia
El último faraón fue Ramsés III .; Ramsés ;Historia
La primera civilización humana fue la civilización sumeria .; sumeria ;Historia
Fidel Castro estuvo 49 años en el poder .; 49 ;Política
El golpe de Estado de Tejero tuvo lugar en 1981 .; 1981 ;Política
Según la leyenda, Roma fue fundada por Rómulo, tras asesinar a su hermano Remo .; Rómulo ;Historia
El rey Juan Carlos I abdicó en 2014 .; 2014 ;Cultura
Francisco Pizarro descubrió Perú .; Perú ;Historia
El primer emperador romano fue César Augusto .; César ;Historia
La Sagrada Familia se encuentra en Barcelona .; Barcelona ;Geografía
Nueva York es conocida como la ciudad de los rascacielos .; rascacielos ;Geografía
El desierto de México se llama Sonora .; Sonora ;Geografía
El río que pasa por Roma es el Tíber .; Tíber ;Geografía
La capital de Nicaragua es Managua .; Managua ;Geografía
El Monte Vesubio está en Nápoles, Italia .; Nápoles ;Geografía
Las crías de los conejos se llaman gazapos .; gazapos ;Biología
Las crías de los caballos se llaman potros .; potros ;Biología
Las crías de las vacas se llaman terneros .; terneros ;Biología
Una célula es más grande que un átomo .; átomo ;Ciencia
La ballena azul es el animal más grande de la Tierra .; ballena ;Biología
Un heptadecágono tiene 17 lados .; 17 ;Matemáticas
Un pulpo tiene tres corazones .; corazones ;Biología
El mineral más duro del planeta es el diamante .; diamante ;Ciencia
Marie Curie y su esposo descubrieron la radioactividad .; radioactividad ;Ciencia
Gregor Mendel fue el autor de las leyes de la herencia genética .; herencia ;Ciencia
Las siglas ADN significan Ácido Desoxirribonucleico .; ADN ;Ciencia
La melanina es el pigmento que da color a nuestra piel .; melanina ;Biología
Albert Einstein formuló la teoría de la relatividad .; relatividad ;Ciencia
El cometa Halley pasa por la Tierra cada 75 años .; Halley ;Astronomía
La Última Cena fue pintada por DaVinci .; DaVinci ;Arte
Vincent van Gogh nació en Zundert, Países Bajos .; Zundert ;Arte
El Guernica se encuentra en el Museo Reina Sofía de Madrid .; Sofía ;Arte
Orson Welles dirigió Ciudadano Kane .; Ciudadano ;Arte
